id,start,end,x,y
"[258, 260]",72014097012,72014105012,"[0.04853455722332001, 0.047767359763383865]","[0.38070908188819885, 0.3824853301048279]"
"[258, 260]",72014097012,72014105012,"[0.04853455722332001, 0.047767359763383865]","[0.38070908188819885, 0.3824853301048279]"
"[260, 262]",72014105012,72014113012,"[0.047767359763383865, 0.04845558851957321]","[0.3824853301048279, 0.3844139277935028]"
"[262, 264]",72014113012,72014121012,"[0.04845558851957321, 0.04754846170544624]","[0.3844139277935028, 0.3798123896121979]"
"[275, 282]",72014165012,72014193012,"[0.045079369097948074, 0.04620694741606712]","[0.38271793723106384, 0.3880164623260498]"
"[275, 282]",72014165012,72014193012,"[0.045079369097948074, 0.04620694741606712]","[0.38271793723106384, 0.3880164623260498]"
"[282, 289]",72014193012,72014221014,"[0.04620694741606712, 0.045272648334503174]","[0.3880164623260498, 0.3812110722064972]"
"[289, 294]",72014221014,72014241014,"[0.045272648334503174, 0.044140979647636414]","[0.3812110722064972, 0.37133821845054626]"
"[312, 315]",72014313014,72014325014,"[0.05002974346280098, 0.04717973247170448]","[0.38447821140289307, 0.3792036175727844]"
"[312, 315]",72014313014,72014325014,"[0.05002974346280098, 0.04717973247170448]","[0.38447821140289307, 0.3792036175727844]"
"[318, 319]",72014337014,72014341014,"[0.045387785881757736, 0.04270881786942482]","[0.38086092472076416, 0.37676623463630676]"
"[321, 322, 323, 324]",72014349013,72014361013,"[0.046866003423929214, 0.04745267331600189, 0.042237721383571625, 0.051168136298656464]","[0.3848527669906616, 0.37505704164505005, 0.37711259722709656, 0.3828651010990143]"
[332],72014393013,72014393013,[0.05200081318616867],[0.38360944390296936]
[337],72014413013,72014413013,[0.054755475372076035],[0.38398614525794983]
[351],72014469013,72014469013,[0.04962877184152603],[0.3738671839237213]
"[355, 357, 358, 359]",72014485011,72014501011,"[0.05484464392066002, 0.050921741873025894, 0.049811556935310364, 0.0545659139752388]","[0.3791629672050476, 0.3769657015800476, 0.36537715792655945, 0.3805088400840759]"
"[355, 357, 358, 359]",72014485011,72014501011,"[0.05484464392066002, 0.050921741873025894, 0.049811556935310364, 0.0545659139752388]","[0.3791629672050476, 0.3769657015800476, 0.36537715792655945, 0.3805088400840759]"
[387],72014613009,72014613009,[0.044047750532627106],[0.3807300925254822]
[393],72014637009,72014637009,[0.05291326344013214],[0.3864353597164154]
[397],72014653009,72014653009,[0.046689387410879135],[0.37485185265541077]
"[409, 411]",72014701009,72014709009,"[0.05159226432442665, 0.05217010900378227]","[0.37576359510421753, 0.37811774015426636]"
"[409, 411]",72014701009,72014709009,"[0.05159226432442665, 0.05217010900378227]","[0.37576359510421753, 0.37811774015426636]"
[426],72014769008,72014769008,[0.04536953940987587],[0.3761252760887146]
"[436, 438, 439, 440]",72014809008,72014825008,"[0.048589739948511124, 0.04707416146993637, 0.04797570779919624, 0.04911961406469345]","[0.370768278837204, 0.36609113216400146, 0.36680853366851807, 0.3702847957611084]"
"[436, 438, 439, 440]",72014809008,72014825008,"[0.048589739948511124, 0.04707416146993637, 0.04797570779919624, 0.04911961406469345]","[0.370768278837204, 0.36609113216400146, 0.36680853366851807, 0.3702847957611084]"
"[438, 439, 440, 455]",72014817008,72014885009,"[0.04707416146993637, 0.04797570779919624, 0.04911961406469345, 0.049488674849271774]","[0.36609113216400146, 0.36680853366851807, 0.3702847957611084, 0.3817082643508911]"
"[455, 460, 461]",72014885009,72014909009,"[0.049488674849271774, 0.04739013686776161, 0.04905658960342407]","[0.3817082643508911, 0.3688930869102478, 0.36903712153434753]"
"[460, 461, 464]",72014905009,72014921009,"[0.04739013686776161, 0.04905658960342407, 0.04954494908452034]","[0.3688930869102478, 0.36903712153434753, 0.3734321594238281]"
"[464, 475]",72014921009,72014965009,"[0.04954494908452034, 0.05062822625041008]","[0.3734321594238281, 0.3716396689414978]"
"[479, 486]",72014981009,72015009007,"[0.049203041940927505, 0.04951285943388939]","[0.3766571581363678, 0.3721403479576111]"
"[479, 486]",72014981009,72015009007,"[0.049203041940927505, 0.04951285943388939]","[0.3766571581363678, 0.3721403479576111]"
[516],72015129006,72015129006,[0.04513182491064072],[0.368137001991272]
"[531, 533]",72015189006,72015197005,"[0.048598211258649826, 0.04818912595510483]","[0.369357168674469, 0.36776283383369446]"
"[531, 533]",72015189006,72015197005,"[0.048598211258649826, 0.04818912595510483]","[0.369357168674469, 0.36776283383369446]"
"[563, 566]",72015317004,72015329004,"[0.3298144042491913, 0.3336333632469177]","[0.24636420607566833, 0.25377801060676575]"
"[563, 566]",72015317004,72015329004,"[0.3298144042491913, 0.3336333632469177]","[0.24636420607566833, 0.25377801060676575]"
[659],72015701002,72015701002,[0.36586418747901917],[0.2309832125902176]
[670],72015745002,72015745002,[0.37143415212631226],[0.22382871806621552]
"[687, 688, 689, 690, 691, 692]",72015813002,72015833002,"[0.3493031859397888, 0.348540723323822, 0.3481553792953491, 0.34929928183555603, 0.3468683362007141, 0.3480992019176483]","[0.2300516813993454, 0.23096656799316406, 0.23191815614700317, 0.23197726905345917, 0.2265653908252716, 0.23396843671798706]"
[695],72015845002,72015845002,[0.3460032045841217],[0.22039692103862762]
"[698, 699, 700]",72015857002,72015865002,"[0.35161691904067993, 0.3468548655509949, 0.3437703847885132]","[0.24180787801742554, 0.22684243321418762, 0.22081591188907623]"
"[706, 707, 708, 710]",72015889002,72015905002,"[0.3466702699661255, 0.3504127562046051, 0.3451428711414337, 0.3483636975288391]","[0.23651370406150818, 0.23574353754520416, 0.23749521374702454, 0.23744244873523712]"
"[706, 707, 708, 710]",72015889002,72015905002,"[0.3466702699661255, 0.3504127562046051, 0.3451428711414337, 0.3483636975288391]","[0.23651370406150818, 0.23574353754520416, 0.23749521374702454, 0.23744244873523712]"
[718],72015937000,72015937000,[0.34864541888237],[0.24958045780658722]
"[724, 725, 726]",72015961000,72015969001,"[0.3507249355316162, 0.34551045298576355, 0.3498370051383972]","[0.2296023815870285, 0.21975986659526825, 0.2282370626926422]"
"[729, 730]",72015981000,72015985000,"[0.34867554903030396, 0.34454745054244995]","[0.23570121824741364, 0.2332959771156311]"
"[732, 734]",72015993000,72016001001,"[0.3465723991394043, 0.34929755330085754]","[0.22863692045211792, 0.23308704793453217]"
"[732, 734]",72015993000,72016001001,"[0.3465723991394043, 0.34929755330085754]","[0.22863692045211792, 0.23308704793453217]"
"[734, 736]",72016001001,72016009000,"[0.34929755330085754, 0.34894028306007385]","[0.23308704793453217, 0.23332682251930237]"
[739],72016021000,72016021000,[0.34539246559143066],[0.2169893980026245]
[741],72016029000,72016029000,[0.3477413058280945],[0.23685932159423828]
[745],72016045000,72016045000,[0.34698471426963806],[0.21792730689048767]
"[749, 750]",72016061000,72016065000,"[0.34996411204338074, 0.3474244177341461]","[0.23051419854164124, 0.22656725347042084]"
[752],72016073000,72016073000,[0.34886524081230164],[0.22131328284740448]
