id,time,velocity,type,point
43,7707987113,790.3157788288557,2,"(690.2507400512695, 1166.357445716858, 616.6549072265625)"
44,7707991113,650.8707706774031,2,"(689.2482376098633, 1171.6480493545532, 616.634033203125)"
45,7707995113,834.327665484501,2,"(701.4905548095703, 1162.2910737991333, 616.6447143554688)"
46,7707999113,503.1018710527999,2,"(697.840690612793, 1174.1435766220093, 616.6666870117188)"
47,7708003113,455.1771606688043,2,"(688.9493179321289, 1177.500557899475, 616.6778564453125)"
48,7708007113,676.1916945377017,2,"(696.2939071655273, 1166.952109336853, 616.6356201171875)"
49,7708011113,461.32208861541363,2,"(699.3069648742676, 1197.214150428772, 616.6568603515625)"
50,7708015113,483.5199530128039,2,"(686.9573593139648, 1184.4025611877441, 616.65673828125)"
51,7708019113,78.54044535826709,2,"(698.6485862731934, 1172.5297451019287, 616.6892700195312)"
52,7708023113,234.40011449387714,2,"(701.2832166838818, 1174.4465279493722, 616.7023529782674)"
53,7708027113,215.36054376242984,2,"(703.9178470945703, 1176.3633107968158, 616.7154359370036)"
54,7708031112,117.77008433615268,2,"(706.5518188476562, 1178.2796144485474, 616.728515625)"
55,7708035112,140.60547283472997,2,"(696.3677215576172, 1173.6445426940918, 616.7371826171875)"
56,7708039112,1619.5033927376053,2,"(703.520393371582, 1174.4784593582153, 616.7378540039062)"
57,7708043112,1660.168970494528,2,"(696.4912605285645, 1175.6819486618042, 616.7677001953125)"
58,7708047112,166.18726565328103,2,"(694.526195526123, 1179.7280073165894, 616.74560546875)"
59,7708051112,146.74833639512514,2,"(695.225887298584, 1172.5929021835327, 616.839111328125)"
60,7708055112,350.25266169691565,2,"(690.9295463562012, 1185.5252981185913, 616.827392578125)"
61,7708059112,126.99435550103519,2,"(688.1965255737305, 1178.068470954895, 616.7842407226562)"
62,7708063113,161.7406458914196,2,"(698.2609176635742, 1172.7574825286865, 616.8040161132812)"
63,7708067113,225.3902737705461,2,"(697.5354194641113, 1169.6396112442017, 616.7604370117188)"
64,7708071113,29.902819227229198,2,"(695.3409576416016, 1177.3271799087524, 616.8115844726562)"
65,7708075113,171.16971659904115,2,"(691.9001197814941, 1170.6547021865845, 616.7785034179688)"
66,7708079113,215.72487857432017,2,"(697.2623920440674, 1173.3922362327576, 616.7874450683594)"
67,7708083113,100.59129414332106,2,"(702.6246643066406, 1176.1297702789307, 616.79638671875)"
68,7708087113,106.21307181115999,2,"(689.1845512390137, 1174.562931060791, 616.7847900390625)"
69,7708091113,59.02078756460025,2,"(684.5717811584473, 1172.4136590957642, 616.7835693359375)"
70,7708095112,136.33762432469214,2,"(689.5125961303711, 1176.939082145691, 616.76123046875)"
71,7708099112,123.68527962456766,2,"(686.9278907775879, 1187.0086669921875, 616.7813720703125)"
72,7708103112,100.80259359326386,2,"(693.1307601928711, 1183.1137418746948, 616.758544921875)"
73,7708107112,173.11583021769206,2,"(690.3145980834961, 1182.4720859527588, 616.769775390625)"
74,7708111112,128.00741193868456,2,"(688.4878349304199, 1170.5691576004028, 616.7468872070312)"
75,7708115112,73.98518074351495,2,"(695.1143646240234, 1177.6156425476074, 616.7149658203125)"
76,7708119112,82.83908415135551,2,"(698.2958793640137, 1169.1493034362793, 616.724365234375)"
77,7708123113,245.4359744585234,2,"(695.3007316589355, 1183.6780786514282, 616.7129516601562)"
78,7708127113,250.93734885687084,2,"(702.0248794555664, 1173.4148025512695, 616.7332153320312)"
79,7708131113,29.30843296488406,2,"(698.7262344360352, 1179.630160331726, 616.6799926757812)"
80,7708135113,404.3877510707652,2,"(695.7884216308594, 1180.2472829818726, 616.6873168945312)"
81,7708139113,396.80237286017723,2,"(704.6664619445801, 1180.5418968200684, 616.6555786132812)"
82,7708143113,85.8971771644246,2,"(689.0614128112793, 1188.408637046814, 616.6331787109375)"
83,7708147113,95.15847255198612,2,"(687.5057029724121, 1181.661057472229, 616.5897216796875)"
84,7708151112,331.7921926596032,2,"(705.7337951660156, 1173.989224433899, 616.6201171875)"
85,7708155112,344.0409072948955,2,"(699.1012001037598, 1177.4263143539429, 616.6294555664062)"
86,7708159112,57.557011389012544,2,"(691.680793762207, 1178.1538009643555, 616.6085205078125)"
87,7708163112,39.00991722890304,2,"(703.8109016418457, 1172.3511457443237, 616.61669921875)"
88,7708167112,64.48874728909361,2,"(693.900203704834, 1176.5710830688477, 616.6366577148438)"
89,7708171112,126.30376531544098,2,"(693.9800262451172, 1175.5945444107056, 616.6241455078125)"
90,7708175112,184.83248064079189,2,"(697.6333236694336, 1165.5421257019043, 616.6229858398438)"
91,7708179113,169.14207790010383,2,"(696.7036628723145, 1175.138783454895, 616.60009765625)"
92,7708183113,270.634694792995,2,"(700.4760360717773, 1191.7112588882446, 616.630126953125)"
93,7708187113,241.56882790146022,2,"(699.5076370239258, 1172.6806640625, 616.6302490234375)"
94,7708191113,29.56566511078364,2,"(687.0758628845215, 1174.6177911758423, 616.649658203125)"
95,7708195113,288.9122722143768,2,"(695.6982421875, 1199.0082263946533, 616.6280517578125)"
96,7708199113,265.97974285346874,2,"(689.1477012634277, 1175.869631767273, 616.6170654296875)"
97,7708203113,274.15829815298457,2,"(688.1315803527832, 1172.6593494415283, 616.6468505859375)"
98,7708207112,185.7131185758252,2,"(700.1284217834473, 1164.7619247436523, 616.615234375)"
99,7708211112,293.3259007586711,2,"(690.1241683959961, 1170.8925247192383, 616.5919799804688)"
100,7708215112,226.18608138628716,2,"(697.6434516906738, 1177.8167724609375, 616.6124267578125)"
101,7708219112,234.13721765768506,2,"(695.8220672607422, 1175.5279541015625, 616.5391845703125)"
102,7708223112,267.53435780984273,2,"(694.6052742004395, 1178.194284439087, 616.5787353515625)"
103,7708227112,148.80536956379285,2,"(692.7600860595703, 1172.5998401641846, 616.5267333984375)"
104,7708231112,219.63677573888586,2,"(689.5288467407227, 1181.8063974380493, 616.5789794921875)"
105,7708235113,60.38501669121566,2,"(687.3966407775879, 1181.2572956085205, 616.5595703125)"
106,7708239113,125.78849126214119,2,"(694.0700340270996, 1172.2663879394531, 616.5272216796875)"
107,7708243113,61.63549436737956,2,"(690.9597015380859, 1166.025424003601, 616.5270385742188)"
108,7708247113,265.07749942226656,2,"(704.9904441833496, 1181.669282913208, 616.5281982421875)"
109,7708251113,250.0463146983342,2,"(696.3285827636719, 1181.1537265777588, 616.5283203125)"
110,7708255113,202.4706740557813,2,"(692.0828247070312, 1170.062756538391, 616.4959106445312)"
111,7708259113,83.94406698578545,2,"(691.3527488708496, 1168.5676574707031, 616.4871826171875)"
112,7708263110,285.542673171903,2,"(692.222785949707, 1173.6586332321167, 616.48681640625)"
113,7708267110,235.1685904746759,2,"(691.1953926086426, 1169.0094709396362, 616.4888305664062)"
114,7708271110,39.20125221003917,2,"(688.7742805480957, 1170.0530290603638, 616.4261474609375)"
115,7708275110,111.71380280029163,2,"(685.6214332580566, 1179.747748374939, 616.4149780273438)"
116,7708279110,244.6073559879144,2,"(697.2834205627441, 1168.0198431015015, 616.41650390625)"
117,7708283110,194.3313288199344,2,"(691.3015937805176, 1172.1869945526123, 616.395751953125)"
118,7708287110,226.24733060338954,2,"(697.3659896850586, 1173.1810569763184, 616.385986328125)"
119,7708291111,124.11955737582178,2,"(692.3708152770996, 1180.417799949646, 616.3858642578125)"
120,7708295111,138.397715227386,2,"(689.5699310302734, 1176.1823415756226, 616.375)"
121,7708299111,149.37326944806168,2,"(684.4791984558105, 1178.9050340652466, 616.34375)"
122,7708303111,126.49064690320127,2,"(685.4528045654297, 1177.7093410491943, 616.364990234375)"
123,7708307111,198.74363661411905,2,"(698.0827903747559, 1168.756127357483, 616.3544921875)"
124,7708311111,69.03580251813047,2,"(692.2056198120117, 1175.8397340774536, 616.3236694335938)"
125,7708315111,148.42981126730737,2,"(686.5727233886719, 1193.7133312225342, 616.2824096679688)"
126,7708319110,289.90595019064045,2,"(682.3990631103516, 1179.4723749160767, 616.3345336914062)"
127,7708323110,401.782740458718,2,"(690.7714462280273, 1173.9121198654175, 616.261962890625)"
128,7708327110,194.38232951394713,2,"(689.8775482177734, 1184.0048789978027, 616.313720703125)"
129,7708331110,155.3373176122615,2,"(693.0732536315918, 1173.5328197479248, 616.283203125)"
130,7708335110,210.92837456346118,2,"(699.8571395874023, 1172.5479125976562, 616.283447265625)"
131,7708339110,89.92313106285076,2,"(701.773796081543, 1169.4565057754517, 616.26416015625)"
132,7708343110,145.72462126027818,2,"(687.0708274841309, 1185.4074954986572, 616.2640380859375)"
133,7708347111,99.0602512982759,2,"(694.6741676330566, 1179.8148393630981, 616.27490234375)"
134,7708351111,50.78248672915091,2,"(695.3989219665527, 1171.7760801315308, 616.244384765625)"
135,7708355111,94.81034836466073,2,"(692.0587921142578, 1176.7735719680786, 616.193115234375)"
136,7708359111,221.8673647515695,2,"(687.6836585998535, 1172.241711616516, 616.1326293945312)"
137,7708363111,196.46834961511024,2,"(686.4610290527344, 1178.179121017456, 616.1121826171875)"
138,7708367111,144.833130520716,2,"(695.1756477355957, 1167.7627801895142, 616.0699462890625)"
139,7708371111,221.41615356180523,2,"(689.0826988220215, 1170.142149925232, 616.029541015625)"
140,7708375110,364.79601876022537,2,"(688.3797454833984, 1173.4383344650269, 616.00927734375)"
141,7708379110,106.71560139914538,2,"(690.6544303894043, 1168.798327445984, 615.9906005859375)"
142,7708383110,151.22958549577132,2,"(685.4986381530762, 1178.8073301315308, 616.08642578125)"
143,7708387110,246.67391176730882,2,"(693.0519104003906, 1168.9408779144287, 616.1082763671875)"
144,7708391110,129.84874728767872,2,"(695.7298851013184, 1169.0566062927246, 616.0775756835938)"
145,7708395108,94.95824277557448,2,"(694.0818786621094, 1169.5396900177002, 616.0904541015625)"
146,7708399108,155.6191927642798,2,"(693.6817932128906, 1172.7330207824707, 616.124267578125)"
147,7708403109,74.31949409594493,2,"(683.9991188049316, 1183.200216293335, 616.1891479492188)"
148,7708407109,345.01161958591155,2,"(698.8327789306641, 1172.9793548583984, 616.1693115234375)"
149,7708411109,272.7459781152857,2,"(694.7945594787598, 1174.3437051773071, 616.1484375)"
150,7708415109,307.57068767039743,2,"(690.8880043029785, 1186.125898361206, 616.1821899414062)"
151,7708419109,145.11540087608495,2,"(688.8381958007812, 1183.4235906600952, 616.2155151367188)"
152,7708423109,169.11261878914996,2,"(686.3976287841797, 1177.2247552871704, 616.173828125)"
153,7708427109,92.67963718154711,2,"(691.0319137573242, 1172.653341293335, 616.1641845703125)"
154,7708431108,157.7975055102782,2,"(688.535213470459, 1184.5940351486206, 616.2298583984375)"
155,7708435108,286.83481017965806,2,"(684.6300315856934, 1180.2994966506958, 616.230712890625)"
156,7708439108,117.51923843394351,2,"(694.7107315063477, 1176.9458770751953, 616.1470336914062)"
157,7708443108,50.60205944598113,2,"(686.0457801818848, 1181.9048166275024, 616.1917724609375)"
158,7708447108,176.84869230876265,2,"(685.2669525146484, 1176.0104656219482, 616.181396484375)"
159,7708451108,102.43147246853324,2,"(687.5176620483398, 1189.5737171173096, 616.1944580078125)"
160,7708455108,292.3814258800926,2,"(697.3122024536133, 1189.3344640731812, 616.1625366210938)"
161,7708459109,225.1696386482048,2,"(688.4197425842285, 1177.3690223693848, 616.1220703125)"
162,7708463109,117.30254416929913,2,"(690.3063011169434, 1180.7458877563477, 616.154296875)"
163,7708467109,197.89565383987227,2,"(701.7634391784668, 1172.2232580184937, 616.1033935546875)"
164,7708471109,237.41640894167264,2,"(692.1198463439941, 1179.7466039657593, 616.14599609375)"
165,7708475109,258.48506839699394,2,"(695.1038932800293, 1178.7777185440063, 616.14697265625)"
166,7708479109,136.25872664347486,2,"(696.4450263977051, 1177.312731742859, 616.1285400390625)"
167,7708483109,72.4631904216631,2,"(693.8116836547852, 1177.7122735977173, 616.172119140625)"
168,7708487108,253.87907308456903,2,"(688.6149787902832, 1179.5981884002686, 616.1728515625)"
169,7708491108,302.17878472119264,2,"(690.7884979248047, 1175.5438327789307, 616.2054443359375)"
170,7708495108,151.5115286547756,2,"(694.724235534668, 1182.585096359253, 616.1842041015625)"
171,7708499108,70.8332271602388,2,"(691.1121368408203, 1184.9171161651611, 616.1847534179688)"
172,7708503108,150.21026677955433,2,"(696.7618560791016, 1179.1025876998901, 616.1446533203125)"
